,DATE,NAME,DT00,DT32,DX32,DX70,DX90
0,1941.0,AL,,,,,
1,1949.0,AL,,,,,
2,1965.0,AL,0.029411764705882353,59.85294117647059,1.5671641791044777,245.46268656716418,59.23880597014925
3,1966.0,AL,0.9859154929577465,61.056338028169016,1.821917808219178,236.0,54.95890410958904
4,1967.0,AL,0.0,59.082191780821915,0.9014084507042254,246.09859154929578,34.690140845070424
5,1968.0,AL,0.0,82.12857142857143,1.391304347826087,232.6086956521739,71.3623188405797
6,1969.0,AL,0.0,73.14285714285714,0.45454545454545453,224.57575757575756,69.57575757575758
7,1970.0,AL,0.3472222222222222,65.29166666666667,3.6470588235294117,237.0441176470588,80.17647058823529
8,1971.0,AL,0.014492753623188406,55.65217391304348,1.7464788732394365,248.7605633802817,54.70422535211268
9,1972.0,AL,0.016666666666666666,49.15,0.6612903225806451,243.67741935483872,69.5
10,1973.0,AL,0.0,57.09375,1.6129032258064515,244.25806451612902,61.193548387096776
11,1974.0,AL,0.0,51.11764705882353,0.07692307692307693,247.53846153846155,45.38461538461539
12,1975.0,AL,0.0,56.763636363636365,0.7857142857142857,243.73214285714286,50.214285714285715
13,1976.0,AL,0.02,70.62,1.6603773584905661,231.9056603773585,43.54716981132076
14,1977.0,AL,0.5833333333333334,69.25,5.433962264150943,236.45283018867926,83.30188679245283
15,1978.0,AL,0.0,73.74468085106383,5.132075471698113,243.56603773584905,81.90566037735849
16,1979.0,AL,0.0,65.53061224489795,3.0,235.1875,46.5
17,1980.0,AL,0.0,65.69767441860465,1.9069767441860466,229.95348837209303,92.09302325581395
18,1981.0,AL,0.0,69.26666666666667,2.0869565217391304,235.47826086956522,72.28260869565217
19,1982.0,AL,1.103448275862069,50.793103448275865,3.3684210526315788,245.1315789473684,61.13157894736842
20,1983.0,AL,0.6410256410256411,66.15384615384616,4.170212765957447,217.7659574468085,60.91489361702128
21,1984.0,AL,0.0,55.88636363636363,1.0,249.76363636363635,64.18181818181819
22,1985.0,AL,1.2926829268292683,65.34146341463415,4.416666666666667,249.0,58.395833333333336
23,1986.0,AL,0.05,49.425,1.1956521739130435,249.52173913043478,83.93478260869566
24,1987.0,AL,0.0,53.30232558139535,0.3541666666666667,239.75,70.79166666666667
25,1988.0,AL,0.0,63.55555555555556,2.119047619047619,241.0952380952381,67.52380952380952
26,1989.0,AL,0.7804878048780488,51.26829268292683,3.977777777777778,241.2888888888889,45.111111111111114
27,1990.0,AL,0.0,39.092592592592595,0.3157894736842105,256.0877192982456,84.0
28,1991.0,AL,0.0,52.130434782608695,0.3,240.82,59.02
29,1992.0,AL,0.0,54.26190476190476,0.23404255319148937,224.51063829787233,33.91489361702128
30,1993.0,AL,0.0,57.09615384615385,0.6363636363636364,218.36363636363637,71.23636363636363
31,1994.0,AL,0.06382978723404255,49.361702127659576,1.5384615384615385,246.21153846153845,28.96153846153846
32,1995.0,AL,0.0,63.58,0.9,234.2,72.36
33,1996.0,AL,0.36,68.32,5.293103448275862,236.06896551724137,54.5
34,1997.0,AL,0.0,48.93617021276596,1.2264150943396226,228.16981132075472,52.886792452830186
35,1998.0,AL,0.0,40.51020408163265,0.24528301886792453,246.22641509433961,93.66037735849056
36,1999.0,AL,0.0,50.785714285714285,1.326086956521739,253.2826086956522,62.58695652173913
37,2000.0,AL,0.0,60.78048780487805,2.130434782608696,249.65217391304347,84.19565217391305
38,2001.0,AL,0.0,49.83720930232558,0.7346938775510204,247.3265306122449,41.87755102040816
39,2002.0,AL,0.0,61.19047619047619,0.3404255319148936,227.53191489361703,69.46808510638297
40,2003.0,AL,0.0,59.51219512195122,1.2,239.0222222222222,31.822222222222223
41,2004.0,AL,0.0,52.355555555555554,0.96,237.28,38.64
42,2005.0,AL,0.0,56.22641509433962,0.2777777777777778,235.53703703703704,57.388888888888886
43,2006.0,AL,0.0,50.630434782608695,0.19148936170212766,243.10638297872342,85.59574468085107
44,2007.0,AL,0.0,54.16279069767442,0.29545454545454547,253.97727272727272,80.31818181818181
45,2008.0,AL,0.0,69.48979591836735,1.1568627450980393,237.05882352941177,58.0
46,2010.0,AL,0.0,89.0,13.0,202.0,72.0
47,2011.0,AL,0.0,75.0,8.0,194.0,56.0
48,2012.0,AL,0.0,61.0,0.0,216.0,32.0
49,2013.0,AL,,,,,
50,2014.0,AL,,,,,
51,2015.0,AL,,,,,
52,2016.0,AL,,,,,
53,2017.0,AL,,,,,
54,2018.0,AL,,,,,
55,2019.0,AL,,,,,
56,2020.0,AL,,,,,
57,1965.0,AZ,1.0413223140495869,79.61157024793388,1.8728813559322033,235.5677966101695,100.77966101694915
58,1966.0,AZ,2.317073170731707,92.3089430894309,3.5083333333333333,241.71666666666667,99.31666666666666
59,1967.0,AZ,2.009009009009009,89.76576576576576,3.4473684210526314,251.08771929824562,97.21052631578948
60,1968.0,AZ,2.4473684210526314,84.62280701754386,3.373913043478261,237.19130434782608,95.78260869565217
61,1969.0,AZ,0.4322033898305085,80.55084745762711,1.371900826446281,231.6198347107438,102.20661157024793
62,1970.0,AZ,1.0564516129032258,89.88709677419355,1.2170542635658914,231.08527131782947,93.95348837209302
63,1971.0,AZ,2.618320610687023,96.73282442748092,4.144,234.896,95.32
64,1972.0,AZ,1.217741935483871,91.0,2.24,240.192,99.712
65,1973.0,AZ,1.1475409836065573,91.90163934426229,2.680327868852459,224.75409836065575,103.81147540983606
66,1974.0,AZ,1.265625,88.9375,2.643410852713178,235.1860465116279,104.12403100775194
