,DATE,NAME,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9
0,1965.0,AK,-0.8603773584905661,-3.239622641509434,-5.511320754716982,,,-0.6905660377358491,-2.822641509433962,-5.652830188679245,-7.983018867924529,
1,1966.0,AK,-0.6466666666666667,-2.9400000000000004,-5.642222222222222,,,-0.5266666666666667,-2.9444444444444446,-5.593333333333334,-7.90888888888889,
2,1967.0,AK,-0.9777777777777776,-3.0142857142857142,-5.534920634920635,,,-0.7492063492063492,-3.8873015873015873,-6.0888888888888895,-8.587301587301587,
3,1968.0,AK,-0.7968253968253969,-2.901587301587302,-5.573015873015874,,,-0.7285714285714285,-3.0460317460317463,-5.634920634920635,-7.998387096774193,
4,1969.0,AK,-1.066153846153846,-3.163076923076923,-5.537704918032787,,,-0.7923076923076923,-3.010769230769231,-5.436923076923078,-7.995384615384616,
5,1970.0,AK,-1.0953846153846154,-3.378461538461538,-5.821538461538461,,,-0.7846153846153846,-3.0153846153846158,-5.564615384615385,-8.132307692307693,
6,1971.0,AK,-0.8306451612903226,-2.9838709677419355,-5.290322580645161,,,-1.0451612903225806,-3.117741935483872,-5.391935483870968,-8.140322580645162,
7,1972.0,AK,-1.4901960784313726,-3.3274509803921566,-5.86078431372549,,,-0.5529411764705883,-3.0705882352941174,-5.188235294117647,-8.123529411764705,
8,1973.0,AK,-0.8264150943396227,-2.854716981132076,-5.549056603773585,,,-0.5018867924528302,-2.828301886792453,-5.4245283018867925,-7.616981132075471,
9,1974.0,AK,-1.1153846153846154,-3.4269230769230767,-5.615217391304348,,,-0.3538461538461538,-2.715384615384615,-5.017307692307692,-8.15576923076923,
10,1975.0,AK,-0.6962962962962963,-2.9222222222222225,-5.877777777777777,,,-0.8537037037037037,-3.0,-6.118518518518518,-8.546296296296296,
11,1976.0,AK,-1.1571428571428573,-3.6,-5.8319148936170215,,,-0.5877551020408164,-3.1265306122448977,-5.748979591836735,-8.161224489795918,
12,1977.0,AK,-1.0431818181818182,-3.663636363636364,-5.606818181818182,,,-0.525,-2.834883720930233,-5.683333333333333,-8.312820512820512,
13,1978.0,AK,-0.6283018867924528,-3.255769230769231,-5.471153846153846,,,-0.8716981132075472,-2.958490566037736,-5.8226415094339625,-7.818867924528303,
14,1979.0,AK,-0.9222222222222222,-3.0129629629629626,-5.775925925925925,,,-0.7611111111111112,-2.7796296296296297,-5.692592592592592,-8.248148148148148,
15,1980.0,AK,-1.0387755102040817,-3.722448979591837,-5.751020408163265,,,-0.6653061224489796,-2.9489795918367347,-5.606122448979591,-7.90204081632653,
16,1981.0,AK,-0.8857142857142858,-3.3375,-5.505357142857143,,,-0.6803571428571429,-3.042857142857143,-5.45,-7.470833333333334,
17,1982.0,AK,-0.8808510638297872,-3.4404255319148933,-5.448936170212766,,,-0.6340425531914894,-2.87872340425532,-5.453191489361703,-8.240425531914894,
18,1983.0,AK,-0.9372549019607842,-3.094117647058824,-5.482,,,-0.5803921568627451,-2.898039215686275,-5.582000000000001,-8.447916666666666,
19,1984.0,AK,-1.156,-3.018,-5.11,,,-0.826,-2.982,-5.624489795918368,-7.75531914893617,
20,1985.0,AK,-0.6434782608695653,-3.1934782608695653,-5.747826086956521,,,-0.7043478260869565,-2.715217391304348,-5.75,-8.630434782608695,
21,1986.0,AK,-0.9415094339622642,-3.20188679245283,-5.313461538461539,,,-0.6056603773584905,-2.728301886792453,-5.300000000000001,-7.986792452830189,
22,1987.0,AK,-1.25,-3.298387096774193,-5.843548387096774,,,-0.5645161290322581,-2.927419354838709,-5.383870967741935,-7.982258064516128,
23,1988.0,AK,-0.6777777777777778,-3.0666666666666664,-5.452830188679245,,,-0.6037037037037037,-3.2055555555555557,-5.662962962962963,-8.226415094339623,
24,1989.0,AK,-1.1098039215686275,-3.1862745098039214,-6.24,,,-0.6764705882352942,-2.749019607843137,-5.066666666666666,-8.072549019607843,
