,NAME,DATE,NITRO,POT,PHOS
297,South Dakota,1975,29.0,8.0,26.0
322,South Dakota,1976,53.0,13.0,40.0
347,South Dakota,1977,24.0,5.0,17.0
372,South Dakota,1978,21.0,6.0,19.0
397,South Dakota,1979,19.0,10.0,18.0
422,South Dakota,1980,25.0,10.0,21.0
447,South Dakota,1981,44.0,13.0,29.0
472,South Dakota,1982,,,
497,South Dakota,1983,43.0,16.0,41.0
522,South Dakota,1984,47.0,17.0,45.0
547,South Dakota,1985,62.0,22.0,51.0
572,South Dakota,1986,68.0,14.0,44.0
597,South Dakota,1987,61.0,,49.0
622,South Dakota,1988,73.0,,57.0
647,South Dakota,1989,44.0,,35.0
672,South Dakota,1990,51.0,7.0,36.0
697,South Dakota,1991,54.0,11.0,46.0
722,South Dakota,1992,65.0,,54.0
747,South Dakota,1993,66.0,13.0,57.0
772,South Dakota,1994,69.0,17.0,51.0
797,South Dakota,1995,72.0,15.0,55.0
822,South Dakota,1996,78.0,,65.0
847,South Dakota,1997,86.45070422535211,,66.45070422535211
872,South Dakota,1998,88.34782608695652,26.573426573426573,77.30434782608695
897,South Dakota,1999,,,
922,South Dakota,2000,93.2,11.38888888888889,73.1
947,South Dakota,2001,,,
972,South Dakota,2002,,,
997,South Dakota,2003,,,
1022,South Dakota,2004,91.0,29.0,67.0
1047,South Dakota,2005,,,
1072,South Dakota,2006,86.0,26.0,70.0
1097,South Dakota,2007,,,
1122,South Dakota,2008,,,
1147,South Dakota,2009,89.0,16.0,69.0
1172,South Dakota,2010,,,
1197,South Dakota,2011,,,
1222,South Dakota,2012,90.0,21.0,76.0
1247,South Dakota,2013,,,
1272,South Dakota,2014,,,
1297,South Dakota,2015,98.52064368356142,22.77372262773723,79.48383500557415
1322,South Dakota,2016,,,
1347,South Dakota,2017,89.0,21.0,77.5
23,Texas,1964,39.0,4.0,12.0
48,Texas,1965,44.0,26.0,20.0
73,Texas,1966,46.0,24.0,23.0
98,Texas,1967,50.0,16.0,25.0
123,Texas,1968,41.0,8.0,24.0
148,Texas,1969,34.0,20.0,19.0
173,Texas,1970,51.0,13.0,22.0
198,Texas,1971,47.0,40.0,14.0
223,Texas,1972,46.0,16.0,24.0
248,Texas,1973,42.0,20.0,17.0
273,Texas,1974,65.0,15.0,32.0
298,Texas,1975,37.0,11.0,17.0
323,Texas,1976,59.0,23.0,24.0
348,Texas,1977,44.0,38.0,27.0
373,Texas,1978,49.0,10.0,15.0
398,Texas,1979,32.0,22.0,15.0
423,Texas,1980,48.0,13.0,30.0
448,Texas,1981,57.0,14.0,35.0
473,Texas,1982,55.0,22.0,36.0
498,Texas,1983,54.0,41.0,33.0
523,Texas,1984,71.0,27.0,24.0
548,Texas,1985,62.0,16.0,30.0
573,Texas,1986,43.0,18.0,26.0
598,Texas,1987,69.0,49.0,57.0
623,Texas,1988,70.0,24.0,45.0
648,Texas,1989,72.0,26.0,32.0
673,Texas,1990,66.0,10.0,35.0
698,Texas,1991,72.0,26.0,37.0
723,Texas,1992,69.0,14.0,31.0
748,Texas,1993,77.0,16.0,32.0
773,Texas,1994,70.0,19.0,34.0
798,Texas,1995,73.0,15.0,36.0
823,Texas,1996,78.0,,31.0
848,Texas,1997,78.0,16.463414634146343,36.0
873,Texas,1998,75.0,18.330849478390462,50.0
898,Texas,1999,,,
923,Texas,2000,55.0,38.095238095238095,35.0
948,Texas,2001,,,
973,Texas,2002,62.0,28.571428571428573,28.0
998,Texas,2003,,,
1023,Texas,2004,64.0,17.0,35.0
1048,Texas,2005,,,
1073,Texas,2006,44.0,48.0,29.0
1098,Texas,2007,,,
1123,Texas,2008,,,
1148,Texas,2009,47.0,9.0,29.0
1173,Texas,2010,,,
1198,Texas,2011,,,
1223,Texas,2012,65.0,17.0,32.0
1248,Texas,2013,,,
1273,Texas,2014,,,
1298,Texas,2015,67.0,24.0,42.0
1323,Texas,2016,,,
1348,Texas,2017,65.0,22.0,42.0
24,Washington,1964,81.0,80.0,5.0
49,Washington,1965,70.0,,4.0
74,Washington,1966,77.0,,5.0
99,Washington,1967,88.0,2.0,6.0
124,Washington,1968,94.0,13.0,6.0
149,Washington,1969,82.0,51.0,15.0
174,Washington,1970,92.0,,3.0
199,Washington,1971,90.0,28.0,10.0
224,Washington,1972,92.0,,6.0
249,Washington,1973,98.0,,10.0
274,Washington,1974,87.0,,14.0
299,Washington,1975,97.0,,15.0
324,Washington,1976,93.0,2.0,13.0
349,Washington,1977,99.0,20.0,19.0
374,Washington,1978,96.0,10.0,9.0
399,Washington,1979,96.0,37.0,10.0
424,Washington,1980,99.0,18.0,12.0
449,Washington,1981,99.0,78.0,8.0
474,Washington,1982,97.0,42.0,15.0
499,Washington,1983,100.0,31.0,18.0
524,Washington,1984,98.0,42.0,24.0
549,Washington,1985,96.0,33.0,27.0
574,Washington,1986,96.0,15.0,30.0
599,Washington,1987,98.0,26.0,37.0
624,Washington,1988,100.0,32.0,26.0
649,Washington,1989,98.0,,41.0
674,Washington,1990,98.0,,33.0
699,Washington,1991,98.0,21.0,28.0
724,Washington,1992,97.0,17.0,40.0
749,Washington,1993,98.0,23.0,38.0
774,Washington,1994,99.0,19.0,29.0
799,Washington,1995,96.0,29.0,30.0
824,Washington,1996,100.0,22.97872340425532,25.0
849,Washington,1997,98.0,29.45736434108527,34.0
874,Washington,1998,100.0,17.272727272727273,30.0
899,Washington,1999,,,
924,Washington,2000,100.0,11.711711711711711,30.0
949,Washington,2001,,,
974,Washington,2002,99.0,18.181818181818183,39.0
999,Washington,2003,,,
1024,Washington,2004,98.0,31.0,34.0
1049,Washington,2005,,,
1074,Washington,2006,99.0,23.0,41.0
1099,Washington,2007,,,
1124,Washington,2008,,,
1149,Washington,2009,100.0,25.0,36.0
1174,Washington,2010,,,
1199,Washington,2011,,,
1224,Washington,2012,97.0,20.0,45.0
1249,Washington,2013,,,
1274,Washington,2014,,,
1299,Washington,2015,99.0,9.0,59.0
1324,Washington,2016,,,
1349,Washington,2017,97.0,8.0,59.0
