,DATE,NAME,TAVG,TMIN,TMAX
0,1941.0,AL,0.0,0.0,0.0
1,1949.0,AL,0.0,0.0,0.0
2,1965.0,AL,17.34446153846154,10.654411764705882,24.04731343283582
3,1966.0,AL,16.499565217391304,9.833521126760564,23.08890410958904
4,1967.0,AL,16.66185714285714,9.890684931506849,23.477605633802817
5,1968.0,AL,16.229701492537316,9.253571428571428,23.218405797101447
6,1969.0,AL,16.221692307692308,9.501428571428571,23.06984848484848
7,1970.0,AL,16.741641791044778,10.021805555555556,23.593235294117648
8,1971.0,AL,17.032941176470587,10.227971014492754,23.82112676056338
9,1972.0,AL,17.113050847457625,10.3605,23.84951612903226
10,1973.0,AL,17.131639344262293,10.504375,23.81
11,1974.0,AL,16.894791666666666,10.179019607843138,23.714807692307694
12,1975.0,AL,16.9525,10.402181818181818,23.506785714285716
13,1976.0,AL,16.004893617021278,9.1328,22.813396226415094
14,1977.0,AL,16.80913043478261,10.071041666666666,23.64301886792453
15,1978.0,AL,16.584,9.79,23.470000000000002
16,1979.0,AL,16.33888888888889,9.875918367346939,22.785416666666666
17,1980.0,AL,16.8345,10.00953488372093,23.662093023255814
18,1981.0,AL,16.51609756097561,9.61,23.53782608695652
19,1982.0,AL,17.554814814814815,10.987241379310344,23.91184210526316
20,1983.0,AL,15.899411764705883,9.27897435897436,22.451489361702127
21,1984.0,AL,17.18536585365854,10.233181818181817,24.200181818181818
22,1985.0,AL,17.267500000000002,10.769756097560975,23.650208333333335
23,1986.0,AL,17.90025641025641,11.29275,24.50782608695652
24,1987.0,AL,17.28878048780488,10.532558139534883,23.990624999999998
25,1988.0,AL,16.72942857142857,10.0225,23.593809523809522
26,1989.0,AL,16.71205128205128,10.579756097560976,23.010666666666665
27,1990.0,AL,18.13685185185185,11.117037037037038,25.132807017543858
28,1991.0,AL,17.66577777777778,11.457826086956521,23.8582
29,1992.0,AL,16.350952380952382,9.987619047619049,22.8168085106383
30,1993.0,AL,16.627254901960786,10.13326923076923,23.145818181818182
31,1994.0,AL,16.96630434782609,10.712340425531915,23.317307692307693
32,1995.0,AL,16.79148936170213,10.2498,23.4148
33,1996.0,AL,16.560208333333332,9.9234,23.10965517241379
34,1997.0,AL,16.726956521739133,10.444893617021277,22.948301886792454
35,1998.0,AL,18.18191489361702,11.853061224489794,24.570566037735848
36,1999.0,AL,17.80292682926829,10.985238095238095,24.608478260869564
37,2000.0,AL,17.443,10.557560975609757,24.343478260869563
38,2001.0,AL,17.17238095238095,10.73953488372093,23.605102040816327
39,2002.0,AL,17.4890243902439,11.334999999999999,23.612978723404254
40,2003.0,AL,16.77075,10.596585365853658,22.957555555555555
41,2004.0,AL,17.106590909090908,11.059777777777779,23.218600000000002
42,2005.0,AL,17.208490566037735,10.795849056603773,23.61722222222222
43,2006.0,AL,17.72711111111111,10.912391304347826,24.551489361702128
44,2007.0,AL,17.77,10.867441860465117,24.727045454545454
45,2008.0,AL,16.780416666666667,10.242448979591837,23.357058823529414
46,2010.0,AL,14.81,8.15,21.46
47,2011.0,AL,15.02,8.67,21.38
48,2012.0,AL,15.97,9.39,22.56
49,2013.0,AL,0.0,0.0,0.0
50,2014.0,AL,0.0,0.0,0.0
51,2015.0,AL,0.0,0.0,0.0
52,2016.0,AL,0.0,0.0,0.0
53,2017.0,AL,0.0,0.0,0.0
54,2018.0,AL,0.0,0.0,0.0
55,2019.0,AL,0.0,0.0,0.0
56,2020.0,AL,0.0,0.0,0.0
57,1965.0,AZ,16.106052631578947,7.370330578512396,24.748050847457627
58,1966.0,AZ,16.011764705882353,7.2960162601626015,24.759416666666667
59,1967.0,AZ,16.376542056074765,7.38927927927928,25.244298245614033
60,1968.0,AZ,15.949196428571428,7.127894736842106,24.715826086956522
61,1969.0,AZ,16.415258620689656,7.894745762711865,24.776611570247933
62,1970.0,AZ,16.070737704918034,7.342822580645161,24.664263565891474
63,1971.0,AZ,15.671138211382113,6.765114503816794,24.49664
64,1972.0,AZ,16.17710743801653,7.362177419354839,24.968799999999998
65,1973.0,AZ,15.659411764705883,6.964754098360656,24.409754098360658
66,1974.0,AZ,16.245483870967742,7.471328125,24.92162790697674
67,1975.0,AZ,15.784112149532712,6.914629629629629,24.660000000000004
68,1976.0,AZ,15.762038834951456,6.8596330275229365,24.688727272727274
69,1977.0,AZ,16.543181818181818,7.916548672566371,25.2617094017094
70,1978.0,AZ,16.564489795918366,8.457142857142857,24.820792079207923
71,1979.0,AZ,16.070196078431373,7.34647619047619,24.938190476190478
72,1980.0,AZ,17.130659340659342,8.173510638297872,26.01827956989247
73,1981.0,AZ,17.314059405940593,8.803364485981309,25.892547169811323
74,1982.0,AZ,16.753333333333334,8.129677419354838,24.777608695652173
75,1983.0,AZ,16.225161290322582,8.198857142857143,24.281666666666666
76,1984.0,AZ,17.01325,8.201134020618557,25.236666666666668
77,1985.0,AZ,16.82048192771084,8.041938775510204,25.042021276595744
78,1986.0,AZ,17.04294117647059,8.674946236559139,25.273483146067417
79,1987.0,AZ,16.777469879518073,8.327977528089889,25.1975
80,1988.0,AZ,17.068131868131868,8.556224489795918,25.54
81,1989.0,AZ,17.64384615384615,8.543366336633664,26.515757575757576
82,1990.0,AZ,17.319545454545455,8.667254901960783,25.469239130434783
83,1991.0,AZ,16.43602409638554,8.054583333333333,24.62956989247312
84,1992.0,AZ,16.61051020408163,8.572718446601941,24.465818181818182
85,1993.0,AZ,17.02183908045977,8.820729166666666,25.02463157894737
86,1994.0,AZ,17.312278481012658,8.971724137931034,25.66896551724138
