,DATE,NAME,EMSD,EMSN,EMXP,EVAP
0,1949.0,AL,0.0,0.0,71.6,1455.5
1,1950.0,AL,,,64.0,
2,1957.0,AL,0.0,0.0,97.8,
3,1958.0,AL,25.0,25.0,58.4,
4,1959.0,AL,0.0,0.0,75.2,
5,1960.0,AL,0.0,0.0,70.4,
6,1961.0,AL,0.0,0.0,95.3,
7,1962.0,AL,0.0,0.0,105.7,
8,1963.0,AL,0.0,0.0,127.3,
9,1964.0,AL,0.0,0.0,92.7,
10,1965.0,AL,6.913669064748201,10.391304347826088,89.26115107913668,1258.1
11,1966.0,AL,37.18604651162791,38.76086956521739,86.99785714285714,
12,1967.0,AL,4.304964539007092,9.781021897810218,84.99153846153845,1324.4
13,1968.0,AL,35.76978417266187,45.52205882352941,78.68888888888888,1321.0
14,1969.0,AL,1.6330935251798562,4.510791366906475,96.02279411764707,
15,1970.0,AL,4.861538461538461,9.007462686567164,103.3934306569343,
16,1986.0,AL,0.5747126436781609,0.9484536082474226,85.4765306122449,1408.5
17,1990.0,AL,0.0,0.02564102564102564,149.24824561403508,1571.9
18,1992.0,AL,6.407766990291262,18.155339805825243,85.5093023255814,1398.7
19,1993.0,AL,44.19178082191781,88.65686274509804,85.51685393258427,1364.4
20,1997.0,AL,3.04,7.136363636363637,109.41354166666667,1250.7
21,2002.0,AL,2.6511627906976742,8.322916666666666,88.96395348837208,1354.2
22,2003.0,AL,0.6329113924050633,0.46464646464646464,105.66046511627906,1297.0
23,1965.0,AZ,70.00675675675676,73.85526315789474,43.8427027027027,2172.35
24,1966.0,AZ,80.73170731707317,71.96428571428571,37.57179487179487,2480.375
25,1967.0,AZ,205.04347826086956,133.5722891566265,47.05053191489362,1744.0
26,1968.0,AZ,93.17605633802818,65.56363636363636,33.882872928176795,2365.725
27,1969.0,AZ,58.03846153846154,63.48979591836735,33.24623655913979,2421.7999999999997
28,1970.0,AZ,30.101910828025478,42.1030303030303,50.596482412060304,2642.725
29,1971.0,AZ,54.15702479338843,63.47761194029851,39.03061224489796,2807.55
30,1972.0,AZ,35.97687861271676,38.49189189189189,47.015263157894736,2578.5333333333333
31,1973.0,AZ,104.45864661654136,76.37414965986395,30.185798816568045,2516.96
32,1974.0,AZ,71.5506329113924,60.75903614457831,35.93260869565218,2659.38
33,1975.0,AZ,60.77049180327869,82.76821192052981,30.85276073619632,2612.02
34,1976.0,AZ,52.22377622377623,64.83116883116882,35.03987341772152,2506.516666666667
35,1977.0,AZ,35.434108527131784,51.34931506849315,35.49333333333333,2548.025
36,1978.0,AZ,63.81739130434783,65.44055944055944,47.64489795918367,2682.3333333333335
37,1979.0,AZ,100.51612903225806,63.86842105263158,37.83503649635036,2529.75
38,1980.0,AZ,42.48076923076923,35.214285714285715,37.23650793650794,2735.0333333333333
39,1981.0,AZ,33.9344262295082,35.768,35.49932432432432,2751.316666666667
40,1982.0,AZ,58.12048192771084,67.84552845528455,38.248695652173915,2508.275
41,1983.0,AZ,66.29268292682927,47.10687022900763,53.37202797202797,2418.2000000000003
42,1984.0,AZ,45.373333333333335,37.823076923076925,40.7876923076923,2593.7999999999997
43,1985.0,AZ,150.2,126.81428571428572,37.42575757575757,2586.433333333333
44,1986.0,AZ,49.333333333333336,52.9,35.57559055118111,2614.075
45,1987.0,AZ,92.42622950819673,109.53061224489795,38.832203389830504,2312.0
46,1988.0,AZ,29.837209302325583,61.84496124031008,40.30373134328358,2747.4
47,1989.0,AZ,36.3046875,36.090322580645164,34.79139072847682,2914.05
48,1990.0,AZ,57.30392156862745,79.30147058823529,41.0021582733813,2811.5
49,1991.0,AZ,46.666666666666664,60.59731543624161,36.695,2551.52
50,1992.0,AZ,47.306451612903224,57.891891891891895,47.417054263565895,2545.5
51,1993.0,AZ,57.04615384615385,47.888888888888886,45.95354330708662,2475.65
52,1994.0,AZ,37.885245901639344,50.65909090909091,42.0965811965812,2438.65
53,1995.0,AZ,55.737864077669904,55.91596638655462,38.49074074074074,2312.95
54,1996.0,AZ,25.60909090909091,42.95161290322581,32.455963302752295,2633.95
55,1997.0,AZ,96.29069767441861,104.26890756302521,42.27525773195876,2965.3
56,1998.0,AZ,165.0,42.21487603305785,37.78256880733945,2485.0
57,1999.0,AZ,47.96551724137931,61.77536231884058,37.80634920634921,2703.7999999999997
58,2002.0,AZ,12.326732673267326,28.53125,30.423140495867766,2717.2
59,2003.0,AZ,33.258620689655174,43.08759124087591,35.83688524590164,2539.1
60,2004.0,AZ,21.556603773584907,33.333333333333336,41.55663716814159,2538.5
61,2005.0,AZ,50.072463768115945,68.57954545454545,38.41612903225806,2381.3
62,2006.0,AZ,48.266666666666666,92.82758620689656,34.97529411764706,2757.4
63,2008.0,AZ,65.0,77.64383561643835,38.41898734177215,2485.75
64,1965.0,CA,141.55275229357798,79.61538461538461,68.14736842105263,1910.3818181818183
65,1966.0,CA,95.53829787234042,46.60082304526749,74.34639376218323,2138.0105263157893
66,1967.0,CA,130.54366812227073,86.24166666666666,70.25174418604651,1903.629411764706
67,1968.0,CA,129.0179487179487,94.50593824228028,56.295100222717146,2210.3785714285714
68,1969.0,CA,210.09190371991247,82.16632016632016,88.02434077079107,2077.73
69,1970.0,CA,105.79295154185021,62.706382978723404,72.9583850931677,2224.288235294118
70,1971.0,CA,94.32629107981221,60.28256070640177,50.52158859470468,2061.694117647059
71,1972.0,CA,109.63520408163265,64.0622009569378,44.83974082073434,1995.6454545454546
72,1973.0,CA,100.06918238993711,48.68125,63.40594900849858,2074.7615384615387
