,NAME,DATE,IRRIGATION
11,Indiana,1950,114.81720430107526
59,Indiana,1954,252.43010752688173
347,Indiana,1982,2792.3655913978496
443,Indiana,1992,5146.118279569892
635,Indiana,2012,9275.354838709678
491,Indiana,1997,5417.537634408603
348,Iowa,1982,1754.39
588,Iowa,2007,3742.19
60,Iowa,1954,47.92
396,Iowa,1987,1790.39
636,Iowa,2012,3393.74
108,Iowa,1959,363.62
492,Iowa,1997,2585.9
204,Iowa,1969,413.28
252,Iowa,1974,788.34
444,Iowa,1992,2270.38
12,Iowa,1950,27.72
540,Iowa,2002,2783.42
300,Iowa,1978,1954.23
156,Iowa,1964,430.56
493,Kansas,1997,50825.1037735849
205,Kansas,1969,28722.962264150945
397,Kansas,1987,46447.66981132075
445,Kansas,1992,50545.59433962264
13,Kansas,1950,2616.7169811320755
61,Kansas,1954,6255.679245283019
157,Kansas,1964,18947.35849056604
349,Kansas,1982,50450.95283018868
301,Kansas,1978,50657.698113207545
541,Kansas,2002,50508.72641509434
589,Kansas,2007,52109.198113207545
637,Kansas,2012,54358.38679245283
253,Kansas,1974,37931.79245283019
109,Kansas,1959,14379.264150943396
110,Kentucky,1959,142.23140495867767
542,Kentucky,2002,604.9090909090909
14,Kentucky,1950,8.016528925619834
254,Kentucky,1974,180.49586776859505
206,Kentucky,1969,323.75206611570246
302,Kentucky,1978,219.56198347107437
446,Kentucky,1992,443.3223140495868
494,Kentucky,1997,969.6363636363636
398,Kentucky,1987,593.2892561983471
638,Kentucky,2012,1168.7685950413222
590,Kentucky,2007,952.6859504132232
158,Kentucky,1964,238.099173553719
62,Kentucky,1954,222.0495867768595
350,Kentucky,1982,362.88429752066116
303,Louisiana,1978,20915.138461538463
399,Louisiana,1987,19888.184615384616
255,Louisiana,1974,21586.96923076923
543,Louisiana,2002,28871.46153846154
351,Louisiana,1982,21314.676923076924
495,Louisiana,1997,29530.415384615386
447,Louisiana,1992,27604.076923076922
207,Louisiana,1969,21581.89230769231
15,Louisiana,1950,17746.923076923078
63,Louisiana,1954,21779.015384615384
591,Louisiana,2007,29352.23076923077
639,Louisiana,2012,33616.36923076923
111,Louisiana,1959,14918.461538461539
159,Louisiana,1964,17867.292307692307
448,Maine,1992,1204.8235294117646
304,Maine,1978,817.8823529411765
256,Maine,1974,730.7058823529412
592,Maine,2007,2469.8823529411766
208,Maine,1969,650.1176470588235
496,Maine,1997,2615.176470588235
544,Maine,2002,2318.0
400,Maine,1987,700.0
640,Maine,2012,3633.764705882353
16,Maine,1950,270.47058823529414
352,Maine,1982,628.8823529411765
112,Maine,1959,260.47058823529414
64,Maine,1954,129.05882352941177
160,Maine,1964,489.05882352941177
497,Maryland,1997,5721.916666666667
449,Maryland,1992,4742.75
17,Maryland,1950,58.083333333333336
641,Maryland,2012,8742.5
161,Maryland,1964,1333.0
305,Maryland,1978,2367.5
353,Maryland,1982,3206.4166666666665
257,Maryland,1974,1885.75
593,Maryland,2007,7733.75
209,Maryland,1969,1791.75
65,Maryland,1954,695.3333333333334
401,Maryland,1987,4230.166666666667
113,Maryland,1959,931.1666666666666
545,Maryland,2002,6735.666666666667
258,Massachusetts,1974,2453.5333333333333
642,Massachusetts,2012,3106.4
594,Massachusetts,2007,3084.4
402,Massachusetts,1987,2677.9333333333334
306,Massachusetts,1978,2230.266666666667
546,Massachusetts,2002,3152.0
162,Massachusetts,1964,3223.733333333333
498,Massachusetts,1997,3576.0
450,Massachusetts,1992,2636.6
114,Massachusetts,1959,2666.5333333333333
210,Massachusetts,1969,2501.9333333333334
18,Massachusetts,1950,2467.6
66,Massachusetts,1954,3024.4
354,Massachusetts,1982,2310.8
451,Michigan,1992,8719.47619047619
643,Michigan,2012,14085.190476190477
67,Michigan,1954,558.8809523809524
307,Michigan,1978,5375.428571428572
499,Michigan,1997,9679.988095238095
115,Michigan,1959,956.6190476190476
163,Michigan,1964,1166.452380952381
547,Michigan,2002,10850.309523809523
355,Michigan,1982,6805.178571428572
19,Michigan,1950,330.9761904761905
595,Michigan,2007,11907.690476190477
403,Michigan,1987,7489.690476190476
259,Michigan,1974,2305.690476190476
211,Michigan,1969,1835.5714285714287
164,Minnesota,1964,397.95454545454544
308,Minnesota,1978,6088.625
500,Minnesota,1997,9116.477272727272
596,Minnesota,2007,11317.397727272728
452,Minnesota,1992,8396.21590909091
260,Minnesota,1974,1768.7045454545455
116,Minnesota,1959,340.70454545454544
212,Minnesota,1969,826.4772727272727
20,Minnesota,1950,96.25
68,Minnesota,1954,209.25
404,Minnesota,1987,7985.284090909091
548,Minnesota,2002,10289.75
356,Minnesota,1982,7127.875
644,Minnesota,2012,11654.136363636364
453,Mississippi,1992,21241.493975903613
309,Mississippi,1978,7376.518072289156
549,Mississippi,2002,28292.24096385542
501,Mississippi,1997,26683.385542168675
645,Mississippi,2012,39731.98795180723
357,Mississippi,1982,10321.024096385541
405,Mississippi,1987,15292.33734939759
21,Mississippi,1950,122.55421686746988
117,Mississippi,1959,2402.0722891566265
165,Mississippi,1964,2973.4457831325303
69,Mississippi,1954,3192.5301204819275
597,Mississippi,2007,32947.93975903615
261,Mississippi,1974,3894.240963855422
213,Mississippi,1969,3612.5301204819275
118,Missouri,1959,520.991304347826
502,Missouri,1997,15999.434782608696
358,Missouri,1982,6984.48695652174
214,Missouri,1969,2710.6434782608694
22,Missouri,1950,36.3304347826087
550,Missouri,2002,17915.278260869567
70,Missouri,1954,573.8782608695652
454,Missouri,1992,12292.878260869566
166,Missouri,1964,1033.495652173913
310,Missouri,1978,5542.713043478261
262,Missouri,1974,2616.4521739130437
